,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
66787,38045,NIFTY03NOV2218000PE,NIFTY,03NOV2022,1800000.000000,50,OPTIDX,NFO,5.000000
66788,49578,FINNIFTY20DEC2219050CE,FINNIFTY,20DEC2022,1905000.000000,40,OPTIDX,NFO,5.000000
66796,42596,NIFTY08DEC2214750PE,NIFTY,08DEC2022,1475000.000000,50,OPTIDX,NFO,5.000000
66811,68108,MIDCPNIFTY22NOV225800PE,MIDCPNIFTY,22NOV2022,580000.000000,75,OPTIDX,NFO,5.000000
66814,60257,MIDCPNIFTY01NOV228000PE,MIDCPNIFTY,01NOV2022,800000.000000,75,OPTIDX,NFO,5.000000
66815,49994,NIFTY01DEC2217700PE,NIFTY,01DEC2022,1770000.000000,50,OPTIDX,NFO,5.000000
66821,44296,FINNIFTY13DEC2213500CE,FINNIFTY,13DEC2022,1350000.000000,40,OPTIDX,NFO,5.000000
66823,45841,NIFTY29DEC2217000PE,NIFTY,29DEC2022,1700000.000000,50,OPTIDX,NFO,5.000000
66833,55344,BANKNIFTY25JAN2337600CE,BANKNIFTY,25JAN2023,3760000.000000,25,OPTIDX,NFO,5.000000
66838,59886,FINNIFTY01NOV2217100PE,FINNIFTY,01NOV2022,1710000.000000,40,OPTIDX,NFO,5.000000
66839,48419,NIFTY10NOV2218900CE,NIFTY,10NOV2022,1890000.000000,50,OPTIDX,NFO,5.000000
66848,49675,BANKNIFTY03NOV2243900PE,BANKNIFTY,03NOV2022,4390000.000000,25,OPTIDX,NFO,5.000000
66858,60573,BANKNIFTY24NOV2238200PE,BANKNIFTY,24NOV2022,3820000.000000,25,OPTIDX,NFO,5.000000
66890,50345,BANKNIFTY01DEC2238000CE,BANKNIFTY,01DEC2022,3800000.000000,25,OPTIDX,NFO,5.000000
66898,55360,BANKNIFTY25JAN2337900PE,BANKNIFTY,25JAN2023,3790000.000000,25,OPTIDX,NFO,5.000000
66901,84270,FINNIFTY27DEC2218400PE,FINNIFTY,27DEC2022,1840000.000000,40,OPTIDX,NFO,5.000000
66904,40311,FINNIFTY06DEC2218600CE,FINNIFTY,06DEC2022,1860000.000000,40,OPTIDX,NFO,5.000000
66909,47822,NIFTY10NOV2215550PE,NIFTY,10NOV2022,1555000.000000,50,OPTIDX,NFO,5.000000
66914,54393,MIDCPNIFTY31JAN236850PE,MIDCPNIFTY,31JAN2023,685000.000000,75,OPTIDX,NFO,5.000000
66922,49597,BANKNIFTY03NOV2242900CE,BANKNIFTY,03NOV2022,4290000.000000,25,OPTIDX,NFO,5.000000
66923,49014,FINNIFTY06DEC2218550CE,FINNIFTY,06DEC2022,1855000.000000,40,OPTIDX,NFO,5.000000
66932,46655,BANKNIFTY17NOV2236100PE,BANKNIFTY,17NOV2022,3610000.000000,25,OPTIDX,NFO,5.000000
66951,50703,BANKNIFTY01DEC2245000PE,BANKNIFTY,01DEC2022,4500000.000000,25,OPTIDX,NFO,5.000000
66963,47628,NIFTY10NOV2215050CE,NIFTY,10NOV2022,1505000.000000,50,OPTIDX,NFO,5.000000
66970,43410,NIFTY29DEC2214500PE,NIFTY,29DEC2022,1450000.000000,50,OPTIDX,NFO,5.000000
66976,49196,FINNIFTY13DEC2218850CE,FINNIFTY,13DEC2022,1885000.000000,40,OPTIDX,NFO,5.000000
66977,50047,NIFTY01DEC2218400PE,NIFTY,01DEC2022,1840000.000000,50,OPTIDX,NFO,5.000000
66983,84736,MIDCPNIFTY27DEC228300CE,MIDCPNIFTY,27DEC2022,830000.000000,75,OPTIDX,NFO,5.000000
66990,51209,NIFTY22DEC2219400PE,NIFTY,22DEC2022,1940000.000000,50,OPTIDX,NFO,5.000000
66997,45162,MIDCPNIFTY07NOV225900CE,MIDCPNIFTY,07NOV2022,590000.000000,75,OPTIDX,NFO,5.000000
67007,45066,MIDCPNIFTY13DEC226700PE,MIDCPNIFTY,13DEC2022,670000.000000,75,OPTIDX,NFO,5.000000
67024,51800,MIDCPNIFTY15NOV228600CE,MIDCPNIFTY,15NOV2022,860000.000000,75,OPTIDX,NFO,5.000000
67035,44822,FINNIFTY07NOV2219700CE,FINNIFTY,07NOV2022,1970000.000000,40,OPTIDX,NFO,5.000000
67045,60734,BANKNIFTY24NOV2241600PE,BANKNIFTY,24NOV2022,4160000.000000,25,OPTIDX,NFO,5.000000
67062,55718,NIFTY25JAN2316300CE,NIFTY,25JAN2023,1630000.000000,50,OPTIDX,NFO,5.000000
67066,84694,MIDCPNIFTY27DEC227550CE,MIDCPNIFTY,27DEC2022,755000.000000,75,OPTIDX,NFO,5.000000
67074,47663,NIFTY10NOV2215200PE,NIFTY,10NOV2022,1520000.000000,50,OPTIDX,NFO,5.000000
67086,68513,MIDCPNIFTY22NOV226300CE,MIDCPNIFTY,22NOV2022,630000.000000,75,OPTIDX,NFO,5.000000
